id,plugin,name,description,tactic,technique_id,technique_name
cc191baa-7472-4386-a2f4-42f203f1acfd,stockpile,SysInternals PSTool Process Discovery,Process discovery via SysInternals pstool,collection,T1057,Process Discovery
90c2efaa-8205-480d-8bb6-61d90dbaf81b,stockpile,Find files,Locate files deemed sensitive,collection,T1005,Data from Local System
30a8cf10-73dc-497c-8261-a64cc9e91505,stockpile,Compress staged directory (Password Protected),This ability packages staged files into a password-protected archive. Note - Requires 7Z for Windows and GPG version 2.1+ for Linux,collection,T1560.001,Archive Collected Data: Archive via Utility
55678719-e76e-4df9-92aa-10655bbd1cf4,stockpile,cmd.exe information gathering,User enumeration,collection,T1059.001,Command and Scripting Interpreter: PowerShell
4e97e699-93d7-4040-b5a3-2e906a58199e,stockpile,Stage sensitive files,copy files to staging directory,collection,T1074.001,Data Staged: Local Data Staging
2f90d4de-2612-4468-9251-b220e3727452,stockpile,Compress Git Repository,This ability will compress a given git repository.,exfiltration,T1560.001,Archive Collected Data: Archive via Utility
ba0deadb-97ac-4a4c-aa81-21912fc90980,stockpile,Transfer Compressed Archive to Separate S3 Bucket via AWS CLI,"Transfer the compressed archive from one S3 bucket to another S3 bucket via AWS CLI. It is assumed that the proper
policies and security rules are in place to allow reading from the source bucket and writing to the destination
bucket.
",exfiltration,T1537,Transfer Data to Cloud Account
dd4d3d6f-be0a-4d80-ada2-0b7f3228d2dc,stockpile,Exfil Compressed Archive to S3 via Golang,"Use the AWS SDK for GoLang to upload the compressed archive to the provided S3 bucket.
It is assumed that the current user credentials have the proper permissions to write to the target S3 bucket.
Requires the agent to be compiled with the native_aws extension.
Timeout set to 45 seconds.
",exfiltration,T1567.002,Exfiltration to Cloud Storage
300157e5-f4ad-4569-b533-9d1fa0e74d74,stockpile,Compress staged directory,Compress a directory on the file system,exfiltration,T1560.001,Archive Collected Data: Archive via Utility
110cea7a-5b03-4443-92ee-7ccefaead451,stockpile,Scheduled Exfiltration,This ability exfiltrates the staged directory at a scheduled time.,exfiltration,T1029,Scheduled Transfer
d754878c-17dd-46dc-891c-a993f8a10336,stockpile,Exfil Compressed Archive to FTP Server,This ability exfiltrates a compressed archive to an FTP server.,exfiltration,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
a201bec2-a193-4b58-bf0e-57fa621da474,stockpile,Exfil Directory Files to GitHub,"This ability will exfiltrate all files in a set staged directory to a repository in GitHub.
",exfiltration,T1567.001,Exfiltration to Code Repository
ea713bc4-63f0-491c-9a6f-0b01d560b87e,stockpile,Exfil staged directory,Exfil the staged directory,exfiltration,T1041,Exfiltration Over C2 Channel
0582dc26-e0cf-4645-88cf-f37a02279976,stockpile,Exfil Compressed Archive to Github Gist,"This ability exfiltrates a compressed archive to Github Gists (Base64 Encoded). To reconstitute, save
the base64 string from the Gist and run ----
(Powershell) [Convert]::FromBase64String($(Get-Content b64.txt)) | set-content archive.extension -encoding byte ----
(Linux) cat b64.txt | base64 -d > archive.extension
",exfiltration,T1567.001,Exfiltration to Code Repository
4a1120a5-971c-457f-bb07-60641b4723fd,stockpile,Exfil Compressed Archive to Github Repository,This will exfiltrate a given compressed directory to a GitHub repository. It assumes that all the facts supplied are valid.,exfiltration,T1567.001,Exfiltration to Code Repository
3ce95a28-25fc-4a7e-a0cd-0fdb190e2081,stockpile,Exfil Compressed Archive to Dropbox,This will exfiltrate an archive to Dropbox.,exfiltration,T1567.002,Exfiltration to Cloud Storage
5c5b0392-1daa-45e1-967c-2f361ce78849,stockpile,Compress Staged Directory (Password Protected) and Split Into Smaller Chunks,"This ability will compress the staged files into a password protected archive and break it
into smaller chunks based on the given byte size. The original archive will be automatically
deleted. Use this instead of other archiving abilities if small file sizes for exfiltration 
are desired. When used with an exfiltration ability, the exfiltration ability will run numerous
times in an operation depending on how many chunks are created. 
",exfiltration,T1030,Data Transfer Size Limits
e7bf5dc7-62e4-48b2-acf8-abaf8734c19c,stockpile,Exfil Compressed Archive to S3 via AWS CLI,"Exfiltrate the compressed archive to the provided S3 bucket using the AWS CLI. It is assumed that the user
credentials configured with AWS CLI have the proper permissions to write to the target S3 bucket.
",exfiltration,T1567.002,Exfiltration to Cloud Storage
831d5b9d-7867-4bca-98f5-bc235445614c,stockpile,Create persistence cron job for current user,"After target host is rebooted, it will automatically reach out to the caldera server to download and execute the caldera agent, creating persistent access after reboot.",persistence,,
52771610-2322-44cf-816b-a7df42b4c086,stockpile,Replace a service binary with alternate binary,"This is an example technique. snmptrap.exe should be changed in the command
below with the new desired service binary. Depending on the value of
host.service.modifiable this ability can damage the target system.
",persistence,T1543.003,Create or Modify System Process: Windows Service
0cd686c7-8d70-434e-a20c-2fc58f51a51a,stockpile,Create persistence cron job for root user (requires sudo),"After target host is rebooted, it will automatically reach out to the caldera server to download and execute the caldera agent, creating persistent root access after reboot.",persistence,,
98e58fc4-3843-4511-89b1-50cb872e0c9b,stockpile,Credentials in Registry - HKLM,Search for possible credentials stored in the HKLM Hive,credential-access,T1552.002,Unsecured Credentials: Credentials in Registry
1b4fb81c-8090-426c-93ab-0a633e7a16a7,stockpile,Sniff network traffic,Perform a packet capture,credential-access,T1040,Network Sniffing
422526ec-27e9-429a-995b-c686a29561a4,stockpile,Dump history,Get contents of bash history,credential-access,T1552.003,Unsecured Credentials: Bash History
c9f2c7ae-0092-4ea0-b9ae-92014eba7ce7,stockpile,Inject Cred dumper into process (Spookier),Injects cred dumper exe into an available process,credential-access,T1055.002,Process Injection: Portable Executable Injection
3c647015-ab0a-496a-8847-6ab173cd2b22,stockpile,MiniDumpWriteDump (Spooky),Custom GO credential dumper using minidumpwritedump,credential-access,T1003,OS Credential Dumping
baac2c6d-4652-4b7e-ab0a-f1bf246edd12,stockpile,Run PowerKatz,Use powerkatz to execute mimikatz and attempt to grab plaintext and/or hashed passwords,credential-access,T1003.001,OS Credential Dumping: LSASS Memory
de632c2d-a729-4b77-b781-6a6b09c148ba,stockpile,Find private keys,Find private keys on the file system,credential-access,T1552.004,Unsecured Credentials: Private Keys
7049e3ec-b822-4fdf-a4ac-18190f9b66d1,stockpile,Powerkatz (Staged),Use Invoke-Mimikatz,credential-access,T1003.001,OS Credential Dumping: LSASS Memory
0ef4cc7b-611c-4237-b20b-db36b6906554,stockpile,Leverage Procdump for lsass memory,Dump lsass for later use with mimikatz,credential-access,T1003.001,OS Credential Dumping: LSASS Memory
3aad5312-d48b-4206-9de4-39866c12e60f,stockpile,Credentials in Registry - HKCU,Search for possible credentials stored in Registry,credential-access,T1552.002,Unsecured Credentials: Credentials in Registry
eb814e03-811a-467a-bc6d-dcd453750fa2,stockpile,Install PSTools,Download and install PSTools by unzipping the file,command-and-control,T1105,Ingress Tool Transfer
0ab383be-b819-41bf-91b9-1bd4404d83bf,stockpile,Ragdoll,A Python agent which communicates via the HTML contact,command-and-control,T1071.001,Application Layer Protocol: Web Protocols
60f63260-39bb-4136-87a0-b6c2dca799fc,stockpile,Install PowerShell Core 6,"Download, install and start new process under PowerShell Core 6",command-and-control,T1105,Ingress Tool Transfer
4cd4eb44-29a7-4259-91ae-e457b283a880,stockpile,Delete payload,Remove a downloaded payload file,defense-evasion,T1070.004,Indicator Removal on Host: File Deletion
36eecb80-ede3-442b-8774-956e906aff02,stockpile,1-min sleep,Pause all operations to avoid making noise,defense-evasion,T1497.003,Virtualization/Sandbox Evasion: Time Based Evasion
e5bcefee-262d-4568-a261-e8a20855ec81,stockpile,Signed Binary Execution - Mavinject,Leverage Mavinject (signed binary) for DLL injection,defense-evasion,T1055.002,Process Injection: Portable Executable Injection
a74bc239-a196-4f7e-8d5c-fe8c0266071c,stockpile,Signed Binary Execution - odbcconf,Leverage odbcconf for DLL injection,defense-evasion,T1055.001,Process Injection: Dynamic-link Library Injection
49470433-30ce-4714-a44b-bea9dbbeca9a,stockpile,Disable Windows Defender Real-Time Protection,Disable Windows Defender Real-Time Protection,defense-evasion,T1562.001,Impair Defenses: Disable or Modify Tools
fcf71ee3-d1a9-4136-b919-9e5f6da43608,stockpile,Clear Logs,Clear Sysmon logs [intended to trigger CAR-2016-04-002],defense-evasion,T1070.001,Indicator Removal on Host: Clear Windows Event Logs
b007f6e8-4a87-4440-8888-29ceab047d9b,stockpile,Disable Windows Defender All,Disable Windows Defender All,defense-evasion,T1562.001,Impair Defenses: Disable or Modify Tools
43b3754c-def4-4699-a673-1d85648fda6a,stockpile,Avoid logs,Stop terminal from logging history,defense-evasion,T1070.003,Indicator Removal on Host: Clear Command History
1258b063-27d6-489b-a677-4807faacf868,stockpile,Check Security Services,Check for security services. Security service list is based on the SUNBURST malware observed in a Solarwinds related compromise (https://research.checkpoint.com/2020/sunburst-teardrop-and-the-netsec-new-normal/).,defense-evasion,T1497.001,Virtualization/Sandbox Evasion: System Checks
7a6ba833-de40-466a-8969-5c37b13603e0,stockpile,Check analysis environment processes,Check for analysis/sandbox environment processes. Process black list is based on the SUNBURST malware observed in a Solarwinds related compromise (https://research.checkpoint.com/2020/sunburst-teardrop-and-the-netsec-new-normal/).,defense-evasion,T1497.001,Virtualization/Sandbox Evasion: System Checks
5f844ac9-5f24-4196-a70d-17f0bd44a934,stockpile,Deadman - Delete agent file,Deadman ability to delete agent file after termination.,defense-evasion,T1070.004,Indicator Removal on Host: File Deletion
e5f9de8f-3df1-4e78-ad92-a784e3f6770d,stockpile,Move Powershell & triage,Copy powershell to non-standard location and perform triage commands,defense-evasion,T1059.001,PowerShell
a42dfc86-12f0-4f06-b0cf-24830c7f61f4,stockpile,Spawn calculator (shellcode),Start a new calculator process,defense-evasion,T1055,Process Injection
a398986f-31b0-436a-87e9-c8e82c028f3c,stockpile,Inject Sandcat into process,Injects sandcat DLL into an available process,defense-evasion,T1055.002,Process Injection: Portable Executable Injection
3864fd22-5c63-41c9-bdbc-a66b5ffa3f5e,stockpile,Bypass ExecutionPolicy,Ensure the ExecutionPolicy is turned to Bypass,defense-evasion,T1562.001,Impair Defenses: Disable or Modify Tools
665432a4-42e7-4ee1-af19-a9a8c9455d0c,stockpile,UAC bypass registry,Set a registry key to allow UAC bypass,privilege-escalation,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control
e3db134c-4aed-4c5a-9607-c50183c9ef9e,stockpile,Bypass UAC Medium,Bypass user account controls - medium,privilege-escalation,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control
10681f2f-be03-44af-858d-f2b0812df185,stockpile,Weak executable files,Locate and infect files with weak but executable perms,privilege-escalation,T1574.010,Hijack Execution Flow: Services File Permissions Weakness
cc5fa0d8-6e41-432b-a74a-d7cfc6c35d8f,stockpile,SUID Find & Exploit,Finds all SUID binaries and executes relevant cmds,privilege-escalation,,
e99cce5c-cb7e-4a6e-8a09-1609a221b90a,stockpile,duser/osksupport DLL Hijack,UIPI bypass with uiAccess application,privilege-escalation,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control
7f6ea111-1528-4bf7-9ae1-3ee9c3eb3218,stockpile,Abuse Linux Capability: Python3,Use python3 to pull down Caldera agent as root,privilege-escalation,,
b7344901-0b02-4ead-baf6-e3f629ed545f,stockpile,Slui File Handler Hijack,executes the slui exe file handler hijack,privilege-escalation,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control
95ad5d69-563e-477b-802b-4855bfb3be09,stockpile,wow64log DLL Hijack,Dll Hijack of WOW64 logger wow64log.dll using Akagi.exe,privilege-escalation,T1548.002,Abuse Elevation Control Mechanism: Bypass User Access Control
134b49a3-3f93-41bd-85f4-563eadbb6055,stockpile,Stop PowerShell processes,Kill all PowerShell processes,execution,T1059.001,Command and Scripting Interpreter: PowerShell
bfff9006-d1fb-46ce-b173-92cb04e9a031,stockpile,PowerShell bitly Link Download,Download,execution,T1059.001,Command and Scripting Interpreter: PowerShell
ece5dde3-d370-4c20-b213-a1f424aa8d03,stockpile,Start 54ndc47 (WMI),Remotely executes 54ndc47 over WMI,execution,T1047,Windows Management Instrumentation
315cedf1-4a3a-4015-b63f-149d64bacbbc,stockpile,Emulate Administrator Tasks,Emulate administrator tasks on a system in a separate process,execution,T1059.001,Command and Scripting Interpreter: PowerShell
3796a00b-b11d-4731-b4ca-275a07d83299,stockpile,Impersonate user,Run an application as a different user,execution,T1059.001,Command and Scripting Interpreter: PowerShell
95727b87-175c-4a69-8c7a-a5d82746a753,stockpile,Service Creation,"Create a service named ""sandsvc"" to execute remote 54ndc57 binary named ""s4ndc4t.exe""",execution,T1569.002,System Services: Service Execution
b1d41972-3ad9-4aa1-8f7f-05f049a2980e,stockpile,Start 54ndc47,Start a new 54ndc47 agent in background,execution,T1059.004,Command and Scripting Interpreter: Unix Shell
de52784d-4de6-4d4e-b79e-e7b68fe037fb,stockpile,Add bookmark,Add a malicous bookmark which looks like a current one,execution,T1059.002,Command and Scripting Interpreter: AppleScript
ccdb8caf-c69e-424b-b930-551969450c57,stockpile,PowerShell Invoke MimiKats,Download,execution,T1059.001,Command and Scripting Interpreter: PowerShell
620b674a-7655-436c-b645-bc3e8ea51abd,stockpile,Copy Sandcat File using PsExec on CMD,Copy Sandcat file using PsExec on CMD,lateral-movement,T1570,Lateral Tool Transfer
10a9d979-e342-418a-a9b0-002c483e0fa6,stockpile,Start 54ndc47,"Copy 54ndc47 to remote host and start it, assumes target uses SSH keys and passwordless authentication",lateral-movement,T1021.004,Remote Services: SSH
40161ad0-75bd-11e9-b475-0800200c9a66,stockpile,Net use,Mounts a network file share on a target computer,lateral-movement,T1021.002,Remote Services: SMB/Windows Admin Shares
96d3c175-5e58-424c-8350-d7514b28a075,stockpile,Lateral Movement - Certutil,Uses CertUtil as a LoL technique to move the .exe agent as a certificate using windows-signed binaries,lateral-movement,,
aa6ec4dd-db09-4925-b9b9-43adeb154686,stockpile,Mount Share,Mount a windows share,lateral-movement,T1021.002,Remote Services: SMB/Windows Admin Shares
4908fdc4-74fc-4d7c-8935-26d11ad26a8d,stockpile,Copy 54ndc47 (WinRM and SCP),Copy 54ndc47 to remote host (powershell 5 or newer only) or SCP,lateral-movement,T1570,Lateral Tool Transfer
22881b9d-0efa-4ef4-9704-df0f11170cc3,stockpile,Lateral Movement - esentutl,Tool transfer to lateral hosts using Alternate Data Streams to hide implant,lateral-movement,,
41bb2b7a-75af-49fd-bd15-6c827df25921,stockpile,Start Agent (WinRM),Start Agent using WinRM (WinRM),lateral-movement,T1021.006,Remote Services: Windows Remote Management
65048ec1-f7ca-49d3-9410-10813e472b30,stockpile,Copy 54ndc47 (SMB),Copy 54ndc47 to remote host (SMB),lateral-movement,T1021.002,Remote Services: SMB/Windows Admin Shares
3734aa1e-c536-42b3-8912-4c91b8bdce90,stockpile,Copy Sandcat File using Powershell,Copy Sandcat file using PowerShell,lateral-movement,T1021.006,Remote Services: Windows Remote Management
3b007f46-23e7-4a11-9c14-e7085b6a754a,stockpile,Quit Outlook,Quit Outlook,impact,T1489,Service Stop
2fe2d5e6-7b06-4fc0-bf71-6966a1226731,stockpile,Disrupt WIFI,Turn a computers WIFI off,impact,T1499,Endpoint Denial of Service
47d08617-5ce1-424a-8cc5-c9c978ce6bf9,stockpile,Leave note,Create a text file for the user to find,impact,T1491,Defacement
78524da1-f347-4fbb-9295-209f1f408330,stockpile,Record microphone,Install sox and record microphone for n-seconds,impact,T1496,Resource Hijacking
46da2385-cf37-49cb-ba4b-a739c7a19de4,stockpile,Crypto (Monero) Mining,Download and execute Monero miner (xmrig) for 1 minute,impact,T1496,Resource Hijacking
68235976-2404-42a8-9105-68230cfef562,stockpile,Invoke-MemeKatz,Downloads random meme and sets as desktop background,impact,T1491,Defacement
55f9600a-756f-496b-b27f-682052dc429c,stockpile,File Hunter Mission,Hunts for files of a certain extension and inserts a message,impact,T1565.001,Data Manipulation: Stored Data Manipulation
0821b0b0-7902-4a7b-8052-80bda5a43684,stockpile,Shutdown Target System,Force shutdown a target system using Process Injection and raw shellcode,impact,T1499,Endpoint Denial of Service
a0676fe1-cd52-482e-8dde-349b73f9aa69,stockpile,Preferred WIFI,See the most used WIFI networks of a machine,discovery,T1016,System Network Configuration Discovery
530e47c6-8592-42bf-91df-c59ffbd8541b,stockpile,View admin shares,Network Share Discovery,discovery,T1135,Network Share Discovery
0360ede1-3c28-48d3-a6ef-6e98f562c5af,stockpile,GetComputers (Alice),Get a list of all computers in a domain,discovery,T1018,Remote System Discovery
fa6e8607-e0b1-425d-8924-9b894da5a002,stockpile,Get System Time,get current system time (ISO 8601),discovery,T1124,System Time Discovery
e8017c46-acb8-400c-a4b5-b3362b5b5baa,stockpile,Network Interface Configuration,View network configuration info for host,discovery,T1016,System Network Configuration Discovery
b18e8767-b7ea-41a3-8e80-baf65a5ddef5,stockpile,Check Python,Check to see what version of python is installed,discovery,T1518,Software Discovery
13379ae1-d20e-4162-91f8-320d78a35e7f,stockpile,Discover local hosts,Use PowerView to query the Active Directory server for a list of computers in the Domain,discovery,T1018,Remote System Discovery
fa4ed735-7006-4451-a578-b516f80e559f,stockpile,Reverse nslookup IP,Find hostname of remote IP in domain,discovery,T1018,Remote System Discovery
b007fc38-9eb7-4320-92b3-9a3ad3e6ec25,stockpile,Get Chrome Bookmarks,Get Chrome Bookmarks,discovery,T1217,Browser Bookmark Discovery
26c8b8b5-7b5b-4de1-a128-7d37fb14f517,stockpile,Discover domain controller,Identify the remote domain controllers,discovery,T1018,Remote System Discovery
5f77ecf9-613f-4863-8d2f-ed6b447a4633,stockpile,Parse SSH known_hosts,View the known_hosts file,discovery,T1018,Remote System Discovery
05cda6f6-2b1b-462e-bff1-845af94343f7,stockpile,Discover injectable process,Discovers processes that the current user has the ability to access and selects an injectable one,discovery,T1057,Process Discovery
c0da588f-79f0-4263-8998-7496b1a40596,stockpile,Identify active user,Find user running agent,discovery,T1033,System Owner/User Discovery
830bb6ed-9594-4817-b1a1-c298c0f9f425,stockpile,Check Chrome,Check to see if Gooogle Chrome browser is installed,discovery,T1518,Software Discovery
feaced8f-f43f-452a-9500-a5219488abb8,stockpile,Identify local users,Identify all local users,discovery,T1087.001,Account Discovery: Local Account
5c65eec8-4839-4713-a4e1-86b2e75d1927,stockpile,Application Window Discovery,"Extracts the names of all open non-explorer windows, and the locations of all explorer windows.",discovery,T1010,Application Window Discovery
ce485320-41a4-42e8-a510-f5a8fe96a644,stockpile,Discover Mail Server,Identify the organizations mail server,discovery,T1018,Remote System Discovery
8c06ebf8-bacf-486b-bd77-21ba8c5a5777,stockpile,Identify Firewalls,Identify Firewalls,discovery,T1518.001,Software Discovery: Security Software Discovery
5a39d7ed-45c9-4a79-b581-e5fb99e24f65,stockpile,System processes,Identify system processes,discovery,T1057,Process Discovery
